Número de documentos (noticias) del corpus: 5909
Número de palabras del corpus: 507648
Palabra:adamant Frec:4 LogProb:-11.584853491339203
Palabra:adapt Frec:8 LogProb:-10.997066826437084
Palabra:adaptability Frec:0 LogProb:-13.194291403773303
Palabra:adaptable Frec:1 LogProb:-12.501144223213357
Palabra:adaptation Frec:2 LogProb:-12.095679115105193
Palabra:adapter Frec:22 LogProb:-10.058797187844153
Palabra:adaptive Frec:3 LogProb:-11.807997042653412
Palabra:adays Frec:0 LogProb:-13.194291403773303
Palabra:add Frec:278 LogProb:-7.563079621951937
Palabra:added Frec:123 LogProb:-8.374009838168266
Palabra:addend Frec:5 LogProb:-11.402531934545248
Palabra:addenda Frec:5 LogProb:-11.402531934545248
Palabra:addendum Frec:2 LogProb:-12.095679115105193
Palabra:adder Frec:0 LogProb:-13.194291403773303
Palabra:addict Frec:4 LogProb:-11.584853491339203
Palabra:addicted Frec:2 LogProb:-12.095679115105193
Palabra:addiction Frec:0 LogProb:-13.194291403773303
Palabra:addition Frec:109 LogProb:-8.493811037980887
Palabra:additional Frec:343 LogProb:-7.353649746399904
Palabra:additionally Frec:12 LogProb:-10.629342046311766
Palabra:additive Frec:3 LogProb:-11.807997042653412
Palabra:addle Frec:1 LogProb:-12.501144223213357
Palabra:address Frec:1746 LogProb:-5.728636093639246
Palabra:addressee Frec:6 LogProb:-11.248381254717989
Palabra:adduce Frec:0 LogProb:-13.194291403773303
Palabra:adduct Frec:0 LogProb:-13.194291403773303
Palabra:ade Frec:0 LogProb:-13.194291403773303
Palabra:adenine Frec:3 LogProb:-11.807997042653412
Palabra:adenoidal Frec:1 LogProb:-12.501144223213357
Palabra:adenoma Frec:3 LogProb:-11.807997042653412
Palabra:adenosine Frec:3 LogProb:-11.807997042653412
Palabra:adept Frec:3 LogProb:-11.807997042653412
Palabra:adequacy Frec:5 LogProb:-11.402531934545248
Palabra:adequate Frec:4 LogProb:-11.584853491339203
Palabra:adequately Frec:4 LogProb:-11.584853491339203
Palabra:adequation Frec:0 LogProb:-13.194291403773303
Palabra:adet Frec:4 LogProb:-11.584853491339203
Palabra:adhere Frec:2 LogProb:-12.095679115105193
Palabra:adherence Frec:0 LogProb:-13.194291403773303
Palabra:adherent Frec:1 LogProb:-12.501144223213357
Palabra:adhesion Frec:0 LogProb:-13.194291403773303
Palabra:adhesive Frec:2 LogProb:-12.095679115105193
Palabra:adiabatic Frec:4 LogProb:-11.584853491339203
Palabra:adiaphorous Frec:1 LogProb:-12.501144223213357
Palabra:adicity Frec:0 LogProb:-13.194291403773303
Palabra:adieu Frec:3 LogProb:-11.807997042653412
Palabra:adipic Frec:5 LogProb:-11.402531934545248
Palabra:adjacency Frec:1 LogProb:-12.501144223213357
Palabra:adjacent Frec:2 LogProb:-12.095679115105193
Palabra:adjacently Frec:0 LogProb:-13.194291403773303
Palabra:adjectival Frec:4 LogProb:-11.584853491339203
Palabra:adjective Frec:2 LogProb:-12.095679115105193
Palabra:adjoin Frec:3 LogProb:-11.807997042653412
Palabra:adjoined Frec:0 LogProb:-13.194291403773303
Palabra:adjoining Frec:0 LogProb:-13.194291403773303
Palabra:adjoint Frec:1 LogProb:-12.501144223213357
Palabra:adjourn Frec:3 LogProb:-11.807997042653412
Palabra:adjournment Frec:0 LogProb:-13.194291403773303
Palabra:adjudge Frec:4 LogProb:-11.584853491339203
Palabra:adjudicate Frec:1 LogProb:-12.501144223213357
Palabra:adjudication Frec:0 LogProb:-13.194291403773303
Palabra:adjunct Frec:5 LogProb:-11.402531934545248
Palabra:adjunction Frec:0 LogProb:-13.194291403773303
Palabra:adjust Frec:4 LogProb:-11.584853491339203
Palabra:adjustable Frec:7 LogProb:-11.114849862093466
Palabra:adjustment Frec:2 LogProb:-12.095679115105193
Palabra:adjutant Frec:3 LogProb:-11.807997042653412
Palabra:administer Frec:9 LogProb:-10.891706310779258
Palabra:administrable Frec:2 LogProb:-12.095679115105193
Palabra:administrate Frec:4 LogProb:-11.584853491339203
Palabra:administration Frec:60 LogProb:-9.083417539599992
Palabra:administrative Frec:22 LogProb:-10.058797187844153
